name,artistName,release_date,popularity,duration_ms
Wait,M83,2011-10-17,74,343253
Tough,Amy Stroup,2018-03-21,33,136746
Your Smiling Face,James Taylor,1977,65,165400
Nothing to It,Bonner Black,2018-03-01,6,202978
In My Arms,Simon Lunche,2018-04-07,0,291443
The Good Doctor,Ben Wolfe,2013,38,393440
The Good Doctor,The Protomen,2009-09-08,34,368440
World of Good,The Saw Doctors,2010-01-03,15,247106
Good Things,Sleater-Kinney,1996,0,190013
The Good Doctor Understands,E Square,2017-06-09,0,398250
Thunder,Imagine Dragons,2017-06-23,0,187146
I'm Beginning to Think You Prefer Beverly Hills 90210 to Me,Fight Like Apes,2009-01-26,20,203413
Can't Forget You (feat. The Nicholas),San Holo,2015-11-27,38,216363
Surreal (Feat. Abby Sevcik),Mielo,2015-04-30,0,228075
Something Real,Rameses B,2018-06-15,0,322909
Some Kind of Magic (feat. MYZICA),LVTHER,2016-12-16,0,194290
Closer,Au5,2018-04-19,0,252800
Wicked Ways,Killabyte,2018-02-07,0,254896
Odyssey (Feat. Danyka Nadeau),Televisor,2017-01-18,0,252787
Oracle Heart,Direct,2017-05-22,13,275014
Odyssey (feat Danyka Nadeau) - Save The Princess! Remix,Televisor,2017-04-26,0,184285
Odyssey (feat Danyka Nadeau) - Android52 Remix,Televisor,2017-04-26,0,240483
Odyssey (feat Danyka Nadeau) - Jimny Remix,Televisor,2017-04-26,0,169859
We Are One - Extended,Disco Fries,2015-12-11,12,245469
We Are One - Radio Edit,Disco Fries,2015-12-11,26,191250
Worth It,Reunify,2015-10-12,22,236250
Fear - Nick Arbor & Antony Carpena Remix,Luke Bond,2015-08-31,12,412499
Fear - Radio Edit,Luke Bond,2014-12-08,8,217499
Fear - Original Mix,Luke Bond,2014-12-08,4,333601
Odyssey (feat Danyka Nadeau) - Stereocool Remix,Televisor,2017-04-26,0,233460
Odyssey (feat Danyka Nadeau) - Glacier Remix,Televisor,2017-04-26,0,216195
Odyssey (feat Danyka Nadeau) - KYOTO BLACK Remix,Televisor,2017-04-26,0,194400
Against the Sun,Rootkit,2014-10-01,0,212288
Linked,Jim Yosef,2017-12-16,0,223218
Party Freaks,Pegboard Nerds,2018-04-02,0,213851
Migraine,ellis,2016-11-02,0,225257
My City,Egzod,2018-02-09,0,166342
Break Them,Aero Chord,2014-11-24,0,259200
Twisted Reality,Unknown Brain,2017-10-17,0,186363
Can't Wait,Jim Yosef,2016-07-28,0,208120
Angels,Dyve,2017-12-01,0,228571
Open Window - Original Mix,Anna Yvette,2013-06-18,39,237176
Rainbow Dream,Anna Yvette,2018-05-25,0,221518
Fire (RØGUENETHVN Remix),JPB,2018-05-11,0,195148
Fire,JPB,2018-03-30,14,216000
Angels - Club Mix,Dyve,2018-02-23,0,281730
Odyssey (feat Danyka Nadeau) - Highway Superstar Remix,Televisor,2017-04-26,0,222994
Dystopia and Back,Timothy Kvasnosky,2016-10-18,0,180160
Time to Pretend,MGMT,2007-12-14,74,261000
Time to Pretend - Super Clean Version,MGMT,2008-03-18,30,260226
Time to Pretend,MGMT,2005-08-30,0,272279
Time to Pretend,MGMT,2008-02-25,15,262173
Worth It - Willem de Roo Remix,Reunify,2016-06-27,6,174414
I Lived,OneRepublic,2013-01-01,77,234546
Shine A Light,BANNERS,2015-09-18,60,225120
They Don't Know Us - Radio Edit,Borgeous,2015-03-27,0,197267
Touch,3LAU,2018-02-16,0,205772
Keep My Light On,DubVision,2018-03-02,41,165000
Let Go of the Wheel,Mako,2016-12-09,15,240185
Just A Kid (feat. Kevin Writer),Two Friends,2017-12-15,42,214201
More Than A Stranger (Tritonal Remix),Justin Caruso,2018-06-08,19,251497
Any Longer (feat. Q'aila),Au5,2016-08-10,31,291310
Shooting Stars,Bag Raiders,2011-01-01,68,235813
It's the Sun,The Polyphonic Spree,2002-09-23,26,334599
"Everybody's Got To Learn Sometime - From ""Eternal Sunshine of the Spotless Mind""/Soundtrack Version",Beck,2004-01-01,0,351826
Something,The Willowz,2004-03-15,27,143853
I Wonder,The Willowz,2004-03-15,35,177986
なんでもないや - movie ver.,RADWIMPS,2016-11-16,0,344053
スパークル - movie ver.,RADWIMPS,2016-11-16,0,534120
前前前世 - movie ver.,RADWIMPS,2016-11-16,0,284240
Hotto Dogu,Heiakim,2017-10-16,0,282000
Wakanda Foreva!,Heiakim,2018-03-04,0,174545
Counting!,Heiakim,2017-10-30,0,170256
Donut,Heiakim,2018-06-11,13,129677
Omae Wa Mou Shindeiru,Heiakim,2017-10-16,0,113280
Omagah!,Heiakim,2017-11-20,0,159375
A Song Which Can't Be Sung,Heiakim,2018-04-01,0,135549
Chicken Nugget,Heiakim,2017-11-28,0,117024
Raindrop,Heiakim,2018-03-20,14,189570
Please Never Fall in Love Again,Ollie MN,2017-09-24,60,154000
falling down (feat. shiloh),Nohidea,2017-08-07,0,96000
fall apart,potsu,2017-10-27,0,172403
Selamanya Indonesia,Twentyfirst Night,2011-08-01,25,248933
Reminiscence: Suikoden 2,daigoro789,2015-01-16,0,145920
Timur - Rame Rame - Live,Glenn Fredly,2014-01-01,0,466493
In Flames,Dabin,2018-03-30,6,204782
Ascent,Faux Tales,2016-05-10,30,286714
We Are The Champions - Remastered 2011,Queen,1977-10-28,77,179200
Queen,OTP,2018-07-13,0,163500
Bohemian Rhapsody - Remastered 2011,Queen,1975-11-21,83,354320
Don't Stop Me Now - Remastered 2011,Queen,1978-11-10,85,209413
Old Time Rock & Roll,Bob Seger,1978-05-05,77,194146
"Elephant Parade - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,9,26293
"Strings That Tie To You - From ""Eternal Sunshine of the Spotless Mind""/Soundtrack Version",Jon Brion,2004-01-01,33,152733
Thunder,Imagine Dragons,2017-06-23,88,187146
"Drive In - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,25,138973
Nola's Bounce,Don Nelson,2004-01-01,0,116760
"Collecting Things - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,37,73866
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,2018-06-15,73,214265
Tsugaru Jyongara Bushi,Wadaiko Matsuriza,2002-01-01,22,301760
Tsugaru Jongara Bushi (Japanese Carnival version),Sunami Vs Hamasaki,2016-07-18,0,166186
津軽じょんがら節(飛翔バージョン),Yoshida Brothers,2006-11-15,0,881106
Tsugaru Jongara Kyokubiki,Takahashi Yūjirō,1999-01-01,3,580600
Tsugaru Jongara Bushi,Takahashi Yūjirō,1999-01-01,7,170586
Noonchi,Chimmi,2018-07-10,0,190627
Tsugaru Jonkara Bushi,Monsters of Shamisen,2013-07-24,1,295417
Hikaru,Monsters of Shamisen,2013-07-24,3,215519
Cold Skin (MiTiS Remix),Seven Lions,2017-06-13,0,236712
Stranded,WRLD,2017-02-28,0,190676
Away,MitiS,2018-03-05,1,259591
Still Kids,Virtual Riot,2017-08-10,39,229714
Lush,Au5,2017-11-22,0,240000
"Main Title - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,29,81600
"Spotless Mind - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,41,71533
"Postcard - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,1,22760
"Showtime - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,24,55640
Look At Me!,XXXTENTACION,2017-02-20,83,126345
"A Dream Upon Waking - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,25,215466
"Peer Pressure - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,48,72026
Light & Day - Radio Edit,The Polyphonic Spree,2004-01-01,30,182973
Stay,Zedd,2017-02-23,79,210090
"Theme - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,53,143933
There's Nothing Holdin' Me Back,Shawn Mendes,2017-04-20,88,199440
"Bookstore - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,43,52093
"Sidewalk Fight - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,26,31626
Some Kinda Shuffle - Instrumental,Don Nelson,2004-01-01,0,130933
"Howard Makes It All Go Away - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,0,14840
"Phone Call - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,56,62600
"Down The Drain - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,29,54573
"Row - From ""Eternal Sunshine of the Spotless Mind""/Score",Jon Brion,2004-01-01,46,59933
Good Time,Earl St. Clair,2016-11-17,33,237626
Touch,Shura,2016-07-08,54,214555
Wake Up,All Sons & Daughters,2013-06-04,24,396453
Bright As The Sun - Official Song Asian Games 2018,Energy 18,2017-11-02,35,279957
"How Far I'll Go - From ""Moana""",Alessia Cara,2016-10-28,67,175517
Garuda Di Dadaku,NTRL,2018-05-25,43,233586
Pucat Pedih Serang,NTRL,2018-05-25,18,192080
Lintang,NTRL,2018-05-25,34,160106
Ombak,NTRL,2018-05-25,13,199160
Haru Biru,NTRL,2018-05-25,29,212026
Walah,NTRL,2018-05-25,24,162426
Bulan,NTRL,2018-05-25,19,265026
Babi,NTRL,2018-05-25,14,182946
Getir,NTRL,2018-05-25,12,202693
History,NTRL,2018-05-25,11,204573
Pertempuran Hati,NTRL,2018-05-25,43,285893
Rayuan Pulau Kelapa,Tjoek Soeparlan,1991-02-13,28,143733
Rayuan Pulau Kelapa,Dian Kusuma,2013,29,320613
Rayuan Pulau Kelapa,Harry,2004-05-05,5,263906
Rayuan Pulau Kelapa,Tjoek Soeparlan,1991-02-13,0,143733
Syubidu,Endank Soekamti,2014-10-31,25,280573
Terlatih Patah Hati,The Rain,2016-09-10,73,260706
Terlalu Tinggi,Juicy Luicy,2016-11-11,43,278667
Mimpi,NTRL,2018-05-25,20,154106
Glorious (feat. Skylar Grey),Macklemore,2017-09-22,80,220454
Immigrant Song - Remaster,Led Zeppelin,1970,81,146250
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-01-19,75,210772
Good Old Days (feat. Kesha),Macklemore,2017-09-22,75,240506
Marmalade (feat. Lil Yachty),Macklemore,2017-09-22,61,261614
Willy Wonka (feat. Offset),Macklemore,2017-09-22,51,222773
And We Danced (feat. Ziggy Stardust),Macklemore,2010-01-05,65,246213
Snow,Traveler,2017-01-05,0,106000
Fly,Melano,2017-05-16,22,197818
Countless,Isolated,2018-04-20,29,260259
Matches (Hyper Potions Remix) [feat. Aaron Richards],Ephixa,2016-11-08,0,255740
Coconut Cabana,ikura,2018-08-10,34,248372
We Used to Talk for Hours,Soulero,2018-04-23,34,212406
Arne - Rework 2018,haruka nakamura,2018-03-21,20,172284
Stay (Subtact Remix),Savoy,2017-06-16,10,226909
Space Talk,The Native Architects,2017-02-03,30,258720
Sacrifice - Miro Remix,Satellite Empire,2017-03-17,21,293000
Rmx of a Rmx,Bihler,2017-01-01,32,193137
Earth Past,Flite,2017-03-31,26,279893
Vanilla - Original Mix,MELURAN,2016-01-01,0,185208
Washed up Together (Cory Nelson Remix),Knox Hamilton,2016-12-02,0,266879
"Die Anywhere Else (From ""Night in the Woods"")",Dinnick the 3rd,2018-03-24,0,162954
Emotion,Uppermost,2017-02-10,22,224113
Leave This World,Xillions,2016-11-22,21,218012
Theme of Octopath Traveler - Metal Version,Ro Panuganti,2018,0,180447
Questions,Nyte,2017-01-27,0,277337
Daytona (Feat. Wanna Wake),Leat'eq,2017-07-12,0,182400
Tessellate,soupandreas,2017-11-28,24,206086
Vestige,Stephen Flores,2017-11-24,15,225468
Restart,Merino,2018-07-15,0,200139
Levitate - From The Original Motion Picture “Passengers”,Imagine Dragons,2016-11-29,51,198173
Golden Age,Deon Custom,2018-02-05,18,213916
Fly Away,Bird Passengers,2017-02-06,17,193333
8-Bit Adventures,Ngyn,2018-05-11,12,160891
"CHIKAI / Don't Think Twice (from ""KINGDOM HEARTS III"") [Piano Solo]",Project Destati,2018-08-31,22,277283
Fiction,Elephant Kind,2016-09-21,15,234213
Spring St.,omniboi,2017-06-05,0,209524
Whole - Rob Gasser Remix,Chime,2017-04-29,0,187440
Places,Catnip Cloud,2018-01-02,0,213137
Rounds of the Fates,Tomoki Miyoshi,2016-07-20,38,139554
Lo-Fi Children,Wild Party,2014-10-07,44,217440
Labirin,Tulus,2018-08-24,76,182656
Hargai Cinta,Rizky Febian,2018-08-03,0,207301
Keep It Up,uma,2018-07-12,30,115714
The Beginning,Eyemedia,2016-06-10,32,78545
Untitled2,Fabric Factory,2016-06-03,23,237812
Reverse-Parallel Universe,V.K,2016-06-03,25,248700
Invite,Sun Chen,2016-06-03,22,167924
Conflict (Ym2151 Edit),Siromaru,2016-06-17,11,155156
Skuld,Rabpit,2013-12-10,17,133053
Utopiosphere,Mili,2014-09-24,40,132954
Evil Force,Alpha Legion,2013-12-10,16,329733
Body Talk,M2U,2018-07-12,32,123633
双龍飛閃-Dual Dragoon-,Daisuke Ohnuma,2016-05-26,14,119076
One Way Love,Tsukasa,2018-07-12,24,125401
Beyond the Horizon,3R2,2016-05-26,20,140732
Moon Without the Stars,Jerry Barnes Quiana,2016-06-03,34,214977
Snow,Voez,2016-05-26,19,209693
Fireflies (Funk Fiction Remix),Nikki Simmons,2018-07-12,38,171691
A New Home,Video Game Orchestra,2016-06-10,11,136705
Metal Hypnotized,Earthbound Papas,2016-06-03,21,315102
"Precipitation at the Entrance, Pt. 2",Ice,2015-09-21,16,125092
Hard Landing,Yamajet,2018-07-12,24,122928
Infinite Wonderland,Kiryu,2016-05-26,7,150250
Yubikiri-Genman,Mili,2016-06-03,27,233741
Code 03 (feat. Megurine Luka),Hoskey,2012-05-23,4,269600
VitMaster,Sakuzyo,2016-06-17,17,123616
Survive,Kevin Penkin,2018-07-12,30,134656
Dynamo,Hidra Xjeil,2016-05-26,13,149538
Gravity,M2U,2018-07-12,31,311250
Process,Tsukasa,2015-09-21,9,134120
Carnation,Himmel,2016-05-26,29,120000
Conflict,Siromaru,2016-06-17,31,155687
Nine Point Eight,Mili,2016-06-03,28,191415
Hope,Voez,2016-05-26,24,216867
Run Go Run,Kaeru Underground,2016-06-03,28,159897
Flame Dark,KIVΛ,2016-05-26,16,208615
Wings of Piano,V.K,2016-06-03,33,333691
Selfish Gene - instrumental,Onoken,2015-01-31,8,180960
Ververg II - instrumental,Onoken,2015-01-31,11,153720
Celestial Sounds - KIVΛ Remix,3R2,2016-08-27,0,317968
Kanata,mikito,2018-07-12,28,180000
Aquamarine,Cashew,2016-05-26,14,155076
Electron,Ice Bird Studio,2016-06-03,25,166093
Time Forgotten,Brian Crain & Rita Chepurchenko,2011-11-22,15,325760
Outsider,Yamajet,2015-09-21,16,132406
Imperium,Dj Counterforce,2016-05-26,7,144331
Refel,Sakuzyo,2016-05-26,17,119076
Bullet Waiting for Me (James Landino Remix),Nikki Simmons,2018-07-12,38,148035
Aboriginal,Video Game Orchestra,2016-06-10,7,137756
Twinkle Wink,Sanaas & Hurce,2016-05-26,17,122913
Colorful Skies,3R2,2015-09-21,19,119266
Violet,Eyemedia,2015-09-21,16,99026
Green Hope,Sing Sing Rabbit,2018-07-12,24,178580
Rotating Sky,Chou Yawa,2016-05-26,9,145846
Reflection / 鏡夜,V.K,2009-01-01,37,276213
Entrance (Deemo Version),Ice,2016-06-03,37,112919
Beyond the Stratus,Ice,2016-06-03,27,138321
Hesitant Blade,Chamber Chu,2018-05-08,26,134266
Dream,Rabpit,2016-06-03,37,267526
Resurrection,Kiryu,2018-07-12,33,125008
Re:Boost,EAjRock,2018-07-12,23,191312
Zealous Hearts (Rayark Edit),Zekk,2018-07-12,25,145808
Fuse,Titancube,2016-05-26,17,131076
Les Parfums de L'Amour,Christian Tschanz,2007-02-01,0,231813
Sairai,Shinichi Kobayashi,2016-06-03,26,141901
This Heart's On Fire,Wolf Parade,2005-09-27,0,238853
Islands In The Stream,Kenny Rogers,1999,0,250066
Dream,Bishop Briggs,2018-04-20,51,194960
New World,Junko Kamata,2014-03-01,12,331106
I Cannot Say (Piano Version),Aioi,2017-11-01,5,162854
Cream Stew (Piano Version),Aioi,2017-11-01,4,205057
New World (Piano Version),Aioi,2017-11-01,4,155223
かわる日,Junko Kamata,2016-01-01,2,230960
Yumeiro Cassis,Junko Kamata,2018-04-28,0,104080
シークレットダンス,Junko Kamata,2018-03-21,7,180007
眠れぬ夜はジャスミン茶を,Junko Kamata,2014-03-01,17,194733
カイト,Junko Kamata,2014-03-01,3,330506
点と線,Junko Kamata,2014-03-01,2,251746
それを愛という,Junko Kamata,2014-03-01,1,321466
ビリーバー,Junko Kamata,2014-03-01,1,363333
休みがとれたら,Junko Kamata,2014-03-01,2,164826
重ねる,Junko Kamata,2018-03-21,3,103994
100万ドルの星屑,Junko Kamata,2018-03-21,3,269668
Image (Completed Version),Junko Kamata,2018-03-21,2,254612
Dead Man's Arms,Bishop Briggs,2017-04-14,44,245173
Hi-Lo (Hollow),Bishop Briggs,2018-04-20,48,251986
River,Bishop Briggs,2018-04-20,76,216133
まじゃれん,Junko Kamata,2018-03-21,2,229693
言えなくなる (I Cannot Say),Junko Kamata,2014-03-21,37,177066
クリームシチュー (Cream Stew),Junko Kamata,2014-03-21,13,318760
週末のこと (The Weekend),Junko Kamata,2014-03-21,6,334200
Lonly Only,Junko Kamata,2018-03-21,2,288989
ラッシー,Junko Kamata,2018-03-21,5,289571
New World (Completed Version),Junko Kamata,2018-03-21,4,331310
まぐれ,Junko Kamata,2017-02-01,2,161426
Hello,Junko Kamata,2017-02-01,3,256773
傷跡,Junko Kamata,2017-02-01,1,359093
終わらない世界で,Daoko,2018-09-26,20,305077
BANG! - Instrumental,Daoko,2016-09-14,8,218998
蛇の心臓,Daoko,2013-09-11,0,214013
高い壁には幾千のドア,Daoko,2015-03-25,22,273149
拝啓グッバイさようなら,Daoko,2017-12-20,33,226297
TWINS,Daoko,2017-01-18,0,256506
8階,Daoko,2015-02-04,0,228866
again,Daoko,2012-12-05,0,212226
ワンルーム・シーサイド・ステップ,Daoko,2017-12-20,29,264046
向こう側の女の子,Daoko,2012-12-05,0,25840
ゆめみてたのあたし,Daoko,2017-12-20,49,271876
弊害,Daoko,2013-12-11,0,109400
ShibuyaK,Daoko,2017-12-20,30,262298
Forever Friends,Daoko,2017-08-16,35,248192
打上花火,Daoko,2017-12-20,65,289577
"GRAVITY feat. Paranel, Jinmenusagi",Daoko,2017-01-18,0,266000
ネガティブモンスター,Daoko,2013-12-11,0,267680
Cinderella step,Daoko,2017-12-20,34,245122
まだゆめをみている,Daoko,2017-01-18,0,204933
パレードへようこそ,Daoko,2012-12-05,0,286613
BOY,Daoko,2017-01-18,0,256320
△-△-△,Daoko,2017-01-18,0,83146
ないものねだり,Daoko,2015-03-25,18,200608
最近,Daoko,2012-12-05,0,202626
bUd,Daoko,2012-12-05,0,218173
Twins,Daoko,2013-12-11,0,250506
チャームポイント,Daoko,2017-12-20,32,54368
そつぎょう,Daoko,2015-02-04,0,323680
7日間創造,Daoko,2015-02-04,0,288973
ネガティブモンスター,Daoko,2017-01-18,0,273680
L&H,Daoko,2012-12-05,0,142120
ミルクティ feat. Paranel,Daoko,2015-02-04,0,253573
COLORS,Daoko,2012-12-05,0,258053
歌舞伎町の女王,Daoko,2017-12-20,21,255065
BANG!,Daoko,2017-12-20,30,219452
Now Loading,Daoko,2012-12-05,0,301346
嫌,Daoko,2015-03-25,22,197932
△-△-△,Daoko,2013-12-11,0,77146
ニルバーナ feat. Jinmenusagi,Daoko,2015-02-04,0,220000
ISLAND,Daoko,2017-01-18,0,274346
Juicy,Daoko,2017-12-20,27,224619
Fried Noodles,Pink Guy,2017-01-04,52,170946
Fried Noodles (Getter Remix),Pink Guy,2017-05-24,43,351428
いただきます,あきお,2016-09-20,28,206819
To the Moon,Knife Girl,2018-03-09,0,246575
Light Travel,Izzard,2018-06-08,16,120500
Smile,Ukuletea,2018-09-14,56,142211
South,Galimatias,2018-04-26,0,215526
Discover Tokyo,Shuta Hasunuma,2007-06-11,0,419893
Anything Like Her (feat. Tiffi),City Girl,2017-12-09,41,191707
ダイスキ with TeddyLoid,Daoko,2016-09-14,36,198667
BANG!,Daoko,2016-09-14,36,218998
水星,Daoko,2015-03-25,41,273479
同じ夜,Daoko,2017-12-20,32,340245
GRY,Daoko,2017-12-20,21,177332
もしも僕らがGAMEの主役で,Daoko,2017-12-20,27,229901
ステップアップLOVE,Daoko,2017-12-20,44,256339
ダイスキ with TeddyLoid,Daoko,2017-12-20,27,200231
BOY (Re-Arrange),Daoko,2017-12-20,17,261421
ぼく (Re-Arrange),Daoko,2017-12-20,24,311800
okay!,Daoko,2017-12-20,22,227706
さみしいかみさま (Re-Arrange),Daoko,2017-12-20,24,203454
Fog (Re-Arrange),Daoko,2017-12-20,13,249191
ずれてる,Daoko,2017-01-18,0,237000
弊害,Daoko,2017-01-18,0,115400
o○o○o,Daoko,2017-01-18,0,109253
"メギツネ feat. PAGE, GOMESS",Daoko,2017-01-18,0,237480
試験一週間前,Daoko,2017-01-18,0,171533
Usagi Funk,Night Tempo,2017-07-02,24,212400
Catch!,Night Tempo,2017-11-03,30,174193
Suki? Suki!,Night Tempo,2017-07-02,26,295081
Love Me Like You Do,Night Tempo,2017-02-01,16,176000
ShortCake,Night Tempo,2017-07-09,19,225000
Love Game,Night Tempo,2018-05-20,23,184320
Level Off,Night Tempo,2018-05-20,29,216000
Better Days,Night Tempo,2018-09-28,19,177600
Lovely!,Night Tempo,2017-07-09,22,174193
Yuu-Huu,Night Tempo,2018-05-20,36,174545
Overture,Night Tempo,2018-05-20,15,132000
Come On!,Night Tempo,2018-05-20,18,209454
Riverside Drive,Night Tempo,2018-05-20,14,198000
Back to Back,Night Tempo,2018-05-20,13,194181
Hot Talkin',Night Tempo,2018-05-20,13,175714
Starlight Girl,Night Tempo,2018-05-20,18,192000
Turn the Lights On,Night Tempo,2018-05-20,18,153750
Better Days,Night Tempo,2018-05-20,9,175200
Bay City Groove,Night Tempo,2018-05-20,13,192000
Memory Lane,Night Tempo,2018-05-20,9,115200
打上花火,Daoko,2017-08-16,63,289334
GO!!!,FLOW,2003,0,239333
花,Motohiro Hata,2018-10-26,27,279800
うたかた花火,supercell,2011-03-16,0,360013
告白氣球,Jay Chou,2016-06-24,66,215146
HANABI,Ikimonogakari,2007-03-07,0,265120
Rolling star,YUI,2007-04-04,0,188506
会いたかった,AKB48,2006,0,227693
Heavy Rotation,JKT48,2013-02-16,0,282613
Hotto Dogu,Heiakim,2018-08-18,31,282000
光るなら,Goose house,2015-04-06,0,252133
君の名は希望,Nogizaka46,2015-01-07,13,325773
Stfu (Tasty Treat Remix),Pink Guy,2017-05-24,35,128000
We Will Rock You - Remastered 2011,Queen,1977-10-28,80,122066
I Want To Break Free,Queen,2018-10-19,73,223080
"Kibou no Uta (from ""Shokugeki no Soma: FOOD WARS!"")",Jonathan Parecki,2016-04-20,0,293270
Kibou no uta,DEARDROPS,2010-08-16,16,222120
HERO 〜希望の歌〜,FLOW,2004,0,218666
2002,Anne-Marie,2018-04-19,66,186986
Good bye with a smile,kobasolo,2017-12-29,26,307986
Make My Story (Boku No Hero Academia),Miura Jam,2018-07-20,22,90794
だってアタシのヒーロー。,LiSA,2018-05-09,0,234266
IGNITE,Eir Aoi,2012,0,244786
君の知らない物語,supercell,2011-03-16,0,339573
世界は恋に落ちている,CHiCO with HoneyWorks,2015-11-18,0,311720
crossing field,LiSA,2013-10-30,0,248946
Rising Hope,LiSA,2015-03-04,0,253213
INNOCENCE,Eir Aoi,2011,0,277320
stella☆,SILENT SIREN,2017-03-01,34,273213
ヒカリノアトリエ feat.MICO,kobasolo,2017-09-27,16,255346
シルエット feat.MICO,kobasolo,2017-09-27,27,240400
僕らだけの等身大,Goose house,2017-01-06,0,259906
ピースサイン,Kenshi Yonezu,2017-11-01,0,238533
I love you so much but I can't tell you,kobasolo,2017-12-29,30,277146
Woman Like Me (feat. Nicki Minaj),Little Mix,2018-10-12,58,228206
Sora Ni Utaeba,NateWantsToBattle,2017-07-13,35,88676
Gas Gas Gas (Initial D),Tsuko G.,2017-08-26,0,272404
ALONES,Aqua Timez,2006,0,259933
"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,2006-01-01,73,255946
"Heroes (From ""My Hero Academia"")",NateWantsToBattle,2017-09-15,46,89393
THE DAY,PornoGraffitti,2016-05-25,45,240373
アップデート,miwa,2018-07-11,0,259466
ブラッドサーキュレーター,ASIAN KUNG-FU GENERATION,2018-03-28,0,222826
遥か彼方,ASIAN KUNG-FU GENERATION,2012-01-18,0,243346
Re:Re: (Single ver.),ASIAN KUNG-FU GENERATION,2016-03-16,0,332240
Wherever you are,ONE OK ROCK,2010-06-09,66,295600
Ranunculus,Daoko,2012-12-05,0,285200
KOI SEYO OTOME,kobasolo,2017-12-29,27,294880
Losers,kobasolo,2017-12-29,13,251986
SHINOBIZM,kobasolo,2017-12-29,10,169720
Lulalulalu,kobasolo,2017-12-29,18,221186
I wish there's no you to be around,kobasolo,2017-12-29,34,279066
Tokyo genocide city,kobasolo,2017-12-29,16,218786
Full power hero,kobasolo,2017-12-29,10,232573
Back-to-back,kobasolo,2017-12-29,28,294880
かけてあげる,Daoko,2015-03-25,33,242969
Another One Bites The Dust - Remastered 2011,Queen,1980-06-27,84,214653
Under Pressure - Remastered 2011,Queen,1982-05-03,84,248440
心の友,Kaname Kawabata,2014-03-12,0,202787
心の友,Mayumi Itsuwa,1972,0,196466
Bengawan Solo,Widya,2001,32,293546
Bengawan Solo,Sundari Soekotjo,2014-03-11,31,171813
Bengawan Solo in Contemporary Keroncong,"Gesang, Melani Tunas, Iin Indriani, 3C, Galeri Kreativitas Anak Bandung",2010-09-29,0,275946
Bengawan Solo - Contemporary Keroncong,Gesang,2010-09-29,29,275946
Bengawan Solo - Original Keroncong Orchestra,Gesang,2010-09-29,40,279920
Lgm. Bengawan Solo,Gesang,2000-04-10,14,247333
Never Tear Us Apart,Bishop Briggs,2018-02-09,60,194826
The Way I Do,Bishop Briggs,2017-04-14,55,243213
White Flag,Bishop Briggs,2018-04-20,62,230586
Baby,Bishop Briggs,2018-08-17,45,194000
Wild Horses - Acoustic,Bishop Briggs,2017-01-06,38,188906
Be Your Love,Bishop Briggs,2016-09-23,60,194066
Wild Horses,Bishop Briggs,2018-04-20,54,189493
Tempt My Trouble,Bishop Briggs,2018-04-20,44,193986
Lyin',Bishop Briggs,2018-04-20,40,186653
White Flag - Steve Reece Remix,Bishop Briggs,2018-05-11,32,150373
White Flag - Boehm Remix,Bishop Briggs,2018-04-13,23,199124
White Flag - Acoustic,Bishop Briggs,2018-03-09,22,193733
Wild Horses,Bishop Briggs,2017-04-14,38,189346
Dark Side,Bishop Briggs,2017-04-14,59,208773
It Will Never Mend,Sezairi,2016-10-28,18,249640
Dream - Acoustic,Bishop Briggs,2017-11-17,38,198693
Be Your Love - West Coast Massive Remix,Bishop Briggs,2017-09-01,22,175120
"Indonesia Pusaka (feat. Christian Adi Jaya, Kaye & Kayla)",Basuki Tjahaja Purnama,2017-04-15,0,148047
Indonesia Pusaka,Rossa,2013-11-12,35,182493
Hallowed Ground,Bishop Briggs,2018-04-20,44,174146
Water,Bishop Briggs,2018-04-20,40,201840
The Fire,Bishop Briggs,2018-04-20,49,183173
The Fire,Bishop Briggs,2017-04-14,35,182986
Pray (Empty Gun),Bishop Briggs,2016-08-12,41,244933
The Way I Do - Acoustic,Bishop Briggs,2017-05-19,26,233053
Dream - RAMI Remix,Bishop Briggs,2018-02-02,20,167280
